StartTime,Touch,Time,ButtonChosen,Song,ButtonPosition
1419451837.158913,1,0.8130772113800049,(stop),
1419451837.158913,2,3.116569995880127,classical,demicheli.wav
1419451837.158913,3,5.134254217147827,(stop),
1419451837.158913,4,6.076717138290405,pop,paranoid.wav
1419451837.158913,5,11.94804310798645,(stop),
1419451837.158913,6,12.839519023895264,classical,demicheli.wav
1419451837.158913,7,13.65113615989685,(stop),
1419451837.158913,8,14.101908206939697,pop,yello.wav
1419451837.158913,9,15.466797113418579,pop,yello.wav
1419451837.158913,10,16.497148990631104,(stop),
